Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização,Contrato,Extrato,Comprovante de crédito,Dossiê,Demonstrativo de evolução da dívida,Laudo referenciado,partner_law_firm,lawyer_name,policy_recommendation,reasoning_code,lawyer_decision,is_override,override_reason,settlement_target_value,settlement_final_value,settlement_status,is_loss,log_cause_value,critical_docs_count,missing_power_pair
8794375-97.2025.8.15.3017,PB,Não reconhece operação,Golpe,Êxito,Improcedência,5697.07,0.0,1,1,1,1,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,8.647882799994678,3,0
3196172-69.2025.8.07.9860,DF,Não reconhece operação,Golpe,Êxito,Improcedência,9972.46,0.0,1,1,0,0,1,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,DEFESA,True,Autor inflexível recusou teto de alçada inicial,,,NA,0,9.207682843874412,2,0
4706930-05.2025.8.18.1157,PI,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,12659.97,7089.5832,0,1,1,0,0,0,Moreira & Guimarães Consultoria Jurídica,Dr. Carlos Eduardo Moreira,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5088.18,ACEITO,1,9.446279312036362,2,0
4444679-14.2025.8.16.4104,PR,Não reconhece operação,Golpe,Êxito,Improcedência,6157.45,0.0,1,1,1,1,1,0,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,8.725580401488468,3,0
4343697-78.2025.8.26.2535,SP,Não reconhece operação,Genérico,Êxito,Extinção,12694.27,0.0,1,1,1,1,0,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.448984762128447,3,0
2747664-58.2025.8.03.2416,AP,Não reconhece operação,Genérico,Êxito,Improcedência,12516.23,0.0,1,1,1,1,1,1,Moreira & Guimarães Consultoria Jurídica,Dr. Carlos Eduardo Moreira,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.434861374169191,3,0
2264342-21.2025.8.08.0676,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9324.41,7925.7485,1,0,0,0,0,0,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,4195.98,4156.77,ACEITO,1,9.140498211373878,1,0
5183968-14.2025.8.06.2465,CE,Não reconhece operação,Genérico,Êxito,Improcedência,9666.15,0.0,1,1,1,0,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,ACORDO,True,Autor inflexível recusou teto de alçada inicial,4349.77,4231.84,ACEITO,0,9.176488819050544,3,0
2355103-66.2025.8.17.4472,PE,Não reconhece operação,Golpe,Êxito,Improcedência,9135.81,0.0,1,1,1,0,0,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.120066588210888,3,0
9750838-22.2025.8.06.5254,CE,Não reconhece operação,Golpe,Êxito,Extinção,17094.28,0.0,1,1,1,1,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.746557680997471,3,0
3389554-72.2025.8.24.7685,SC,Não reconhece operação,Golpe,Êxito,Extinção,16252.53,0.0,1,1,1,0,1,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,DEFESA,CADEIA_COMPLETA,ACORDO,True,Contrato digital com IP divergente da residência do autor,5329.18,5230.82,ACEITO,0,9.696065394935927,3,0
9476635-23.2025.8.22.8195,RO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,17172.85,6697.411499999999,0,1,1,0,1,0,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,6395.01,CONTRA_PROPOSTA,1,9.751143157061296,2,0
7337158-37.2025.8.24.0883,SC,Não reconhece operação,Golpe,Êxito,Improcedência,14675.1,0.0,0,1,1,1,0,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5495.37,ACEITO,0,9.593975599297693,2,0
8475012-55.2025.8.04.3593,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,19308.34,14095.0882,1,1,0,1,0,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,DEFESA,True,Estratégia de sustentação oral com precedentes favoráveis na turma recursal,,,NA,1,9.868344195656668,2,0
6510041-30.2025.8.12.6743,MS,Não reconhece operação,Golpe,Êxito,Extinção,25916.1,0.0,1,1,1,1,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,CADEIA_COMPLETA,ACORDO,True,Autor juntou boletim de ocorrência com indícios robustos de golpe,5329.18,6395.01,CONTRA_PROPOSTA,0,10.162658261490824,3,0
7689166-69.2025.8.16.7536,PR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18559.91,12991.937,0,0,0,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,POWER_PAIR_AUSENTE,ACORDO,False,,5329.18,5433.43,ACEITO,1,9.828813035310665,0,1
9920907-99.2025.8.22.2459,RO,Não reconhece operação,Genérico,Êxito,Improcedência,7302.29,0.0,0,1,1,1,0,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,ML_ZONA_CINZENTA_RISCO_CONTROLADO,DEFESA,False,,,,NA,0,8.89608021054004,2,0
3299555-30.2025.8.06.9376,CE,Não reconhece operação,Genérico,Êxito,Improcedência,18142.65,0.0,1,1,1,0,0,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.806075916217965,3,0
3066116-07.2025.8.17.7728,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,11530.13,9800.610499999999,0,0,0,1,1,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,ACORDO,POWER_PAIR_AUSENTE,DEFESA,True,Autor inflexível recusou teto de alçada inicial,,,NA,1,9.352805613664724,0,1
7950628-71.2025.8.27.2283,TO,Não reconhece operação,Golpe,Não Êxito,Procedência,7430.99,6019.101900000001,1,1,0,0,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,DEFESA,True,Estratégia de sustentação oral com precedentes favoráveis na turma recursal,,,NA,1,8.913548934959937,2,0
9851918-27.2025.8.17.0975,PE,Não reconhece operação,Golpe,Êxito,Extinção,11654.44,0.0,1,1,1,0,1,0,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.36352830279502,3,0
3781598-49.2025.8.25.7067,SE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,17787.22,7114.888000000001,1,0,0,1,1,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5291.85,ACEITO,1,9.78629171944257,1,0
1867676-56.2025.8.10.5492,MA,Não reconhece operação,Golpe,Êxito,Improcedência,23232.71,0.0,0,1,1,1,1,1,Moreira & Guimarães Consultoria Jurídica,Dr. Carlos Eduardo Moreira,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,6395.01,CONTRA_PROPOSTA,0,10.053359520287682,2,0
6757913-54.2025.8.06.3851,CE,Não reconhece operação,Golpe,Êxito,Improcedência,9849.12,0.0,1,1,1,1,1,1,Moreira & Guimarães Consultoria Jurídica,Dr. Carlos Eduardo Moreira,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.195238916833043,3,0
8033497-73.2025.8.24.7697,SC,Não reconhece operação,Genérico,Êxito,Improcedência,23480.32,0.0,0,1,0,1,1,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,DEFESA,ML_ZONA_CINZENTA_RISCO_CONTROLADO,DEFESA,False,,,,NA,0,10.06396049041978,1,0
1295028-77.2025.8.25.5649,SE,Não reconhece operação,Golpe,Êxito,Extinção,22253.63,0.0,1,1,0,1,0,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5536.26,ACEITO,0,10.01030535583433,2,0
9933269-50.2025.8.04.5611,AM,Não reconhece operação,Genérico,Êxito,Improcedência,11872.29,0.0,1,1,1,0,1,0,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,DEFESA,CADEIA_COMPLETA,ACORDO,True,Contrato digital com IP divergente da residência do autor,5329.18,5526.83,ACEITO,0,9.382046618533847,3,0
6255035-08.2025.8.10.0182,MA,Não reconhece operação,Genérico,Êxito,Improcedência,11218.05,0.0,1,1,1,1,1,0,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.325368505260231,3,0
4052520-73.2025.8.14.7204,PA,Não reconhece operação,Golpe,Êxito,Improcedência,21901.65,0.0,1,1,1,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.99436291305034,3,0
8983927-28.2025.8.22.7891,RO,Não reconhece operação,Golpe,Êxito,Improcedência,13312.22,0.0,1,1,1,1,1,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.496512805496309,3,0
5916711-14.2025.8.13.1138,MG,Não reconhece operação,Golpe,Êxito,Extinção,16772.78,0.0,1,1,1,0,1,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.727572231922398,3,0
1746712-11.2025.8.19.9957,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,14151.68,0.0,1,1,0,1,1,1,Moreira & Guimarães Consultoria Jurídica,Dr. Carlos Eduardo Moreira,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,DEFESA,True,Contrato digital com IP divergente da residência do autor,,,NA,0,9.557659284430889,2,0
9880673-76.2025.8.03.2501,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,10215.0,8478.449999999999,0,1,1,1,0,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,4596.75,4817.37,ACEITO,1,9.231710397712375,2,0
7577686-41.2025.8.25.7701,SE,Não reconhece operação,Genérico,Êxito,Improcedência,10392.32,0.0,1,1,0,0,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,ML_ZONA_CINZENTA_RISCO_CONTROLADO,DEFESA,False,,,,NA,0,9.248918571069199,2,0
9373100-68.2025.8.20.1460,RN,Não reconhece operação,Golpe,Êxito,Extinção,21668.9,0.0,1,1,0,1,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5235.91,ACEITO,0,9.983679479845092,2,0
7461031-19.2025.8.18.5635,PI,Não reconhece operação,Genérico,Êxito,Improcedência,13657.46,0.0,0,1,1,1,0,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,ML_ZONA_CINZENTA_RISCO_CONTROLADO,DEFESA,False,,,,NA,0,9.522114388848447,2,0
1763778-23.2025.8.06.8072,CE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16494.97,10721.730500000001,0,1,0,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,6395.01,CONTRA_PROPOSTA,1,9.710871387632391,1,0
1511888-41.2025.8.10.3011,MA,Não reconhece operação,Golpe,Não Êxito,Procedência,14397.97,13822.051199999998,0,0,1,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,POWER_PAIR_AUSENTE,ACORDO,False,,5329.18,6395.01,CONTRA_PROPOSTA,1,9.57491195522808,1,1
5553530-78.2025.8.13.0329,MG,Não reconhece operação,Golpe,Êxito,Improcedência,8893.09,0.0,1,1,0,0,0,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,4001.89,4020.22,ACEITO,0,9.093142290200914,2,0
6281220-48.2025.8.14.7825,PA,Não reconhece operação,Golpe,Êxito,Extinção,10324.44,0.0,1,1,1,0,1,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.242366031933347,3,0
6357448-28.2025.8.25.8469,SE,Não reconhece operação,Genérico,Êxito,Extinção,12587.93,0.0,1,1,0,1,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,ML_ZONA_CINZENTA_RISCO_CONTROLADO,DEFESA,False,,,,NA,0,9.440573135340918,2,0
2255907-82.2025.8.13.5141,MG,Não reconhece operação,Golpe,Êxito,Improcedência,14972.49,0.0,1,1,0,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5514.05,ACEITO,0,9.614036583174947,2,0
8096127-39.2025.8.20.6487,RN,Não reconhece operação,Golpe,Não Êxito,Procedência,10126.75,9519.144999999999,0,1,0,0,1,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,DEFESA,True,Autor juntou boletim de ocorrência com indícios robustos de golpe,,,NA,1,9.223034460035068,1,0
6435416-26.2025.8.05.1971,BA,Não reconhece operação,Golpe,Não Êxito,Procedência,20717.73,20096.198099999998,0,0,0,0,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,POWER_PAIR_AUSENTE,ACORDO,False,,5329.18,5148.69,ACEITO,1,9.938793401058607,0,1
3673871-10.2025.8.19.4258,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,21768.86,0.0,1,1,0,0,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,6395.01,CONTRA_PROPOSTA,0,9.988281723339748,2,0
5801254-55.2025.8.18.0998,PI,Não reconhece operação,Golpe,Êxito,Extinção,18591.82,0.0,1,1,1,0,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.830530763670435,3,0
7155122-43.2025.8.02.2877,AL,Não reconhece operação,Golpe,Êxito,Improcedência,20883.78,0.0,1,1,1,0,1,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.946775942999807,3,0
6045928-88.2025.8.21.0086,RS,Não reconhece operação,Genérico,Êxito,Improcedência,20682.18,0.0,0,1,1,1,1,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5445.87,ACEITO,0,9.937076088560856,2,0
9228079-57.2025.8.20.2188,RN,Não reconhece operação,Genérico,Êxito,Improcedência,18015.33,0.0,1,1,1,1,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.799033847823171,3,0
8724652-35.2025.8.22.6148,RO,Não reconhece operação,Golpe,Êxito,Improcedência,20734.24,0.0,1,1,1,1,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,CADEIA_COMPLETA,ACORDO,True,Autor juntou boletim de ocorrência com indícios robustos de golpe,5329.18,5373.77,ACEITO,0,9.93958994724576,3,0
6470427-70.2025.8.27.9721,TO,Não reconhece operação,Golpe,Êxito,Improcedência,10335.46,0.0,1,1,1,1,1,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.243432729676044,3,0
2610471-63.2025.8.16.6884,PR,Não reconhece operação,Golpe,Não Êxito,Procedência,21512.02,21081.7796,0,1,0,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5426.4,ACEITO,1,9.976413612220684,1,0
3909864-80.2025.8.16.1494,PR,Não reconhece operação,Genérico,Êxito,Extinção,13087.02,0.0,1,1,1,1,1,0,Moreira & Guimarães Consultoria Jurídica,Dr. Carlos Eduardo Moreira,DEFESA,CADEIA_COMPLETA,ACORDO,True,Autor inflexível recusou teto de alçada inicial,5329.18,6395.01,CONTRA_PROPOSTA,0,9.47945258695872,3,0
2918141-63.2025.8.10.9568,MA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,17485.87,10141.8046,0,1,0,1,1,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,ACORDO_FAST_TRACK,DOSSIE_NAO_CONFORME,ACORDO,False,,5329.18,5311.59,ACEITO,1,9.769205592592128,1,0
1001674-10.2025.8.13.3834,MG,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18162.1,12531.848999999998,0,1,1,1,1,0,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,6395.01,CONTRA_PROPOSTA,1,9.807147342432685,2,0
1493613-92.2025.8.03.1860,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,15076.75,13267.54,0,1,1,1,1,0,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5345.3,ACEITO,1,9.620975426185854,2,0
3666808-36.2025.8.19.3905,RJ,Não reconhece operação,Genérico,Êxito,Extinção,9901.54,0.0,1,1,1,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.200546568871907,3,0
5921722-71.2025.8.03.7888,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,18741.56,17429.650800000003,1,0,1,0,1,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5527.68,ACEITO,1,9.838552152652605,2,0
2463547-57.2025.8.14.2771,PA,Não reconhece operação,Golpe,Êxito,Improcedência,12260.52,0.0,1,0,1,0,0,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,6395.01,CONTRA_PROPOSTA,0,9.414221182229408,2,0
6661244-94.2025.8.11.4042,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,24342.03,9006.551099999999,0,1,1,0,1,0,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,DEFESA,True,Autor juntou boletim de ocorrência com indícios robustos de golpe,,,NA,1,10.100000845235794,2,0
6856441-67.2025.8.12.5869,MS,Não reconhece operação,Golpe,Êxito,Improcedência,4296.23,0.0,1,1,1,1,0,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,8.365725908058161,3,0
