Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização,Contrato,Extrato,Comprovante de crédito,Dossiê,Demonstrativo de evolução da dívida,Laudo referenciado
4379428-87.2025.8.27.6305,TO,Não reconhece operação,Golpe,Êxito,Improcedência,11537.54,0.0,1,1,1,0,1,1
9052544-12.2025.8.18.3595,PI,Não reconhece operação,Golpe,Êxito,Improcedência,12254.54,0.0,1,1,1,1,0,1
1160202-57.2025.8.07.2189,DF,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,12945.85,7379.134499999999,1,1,0,1,1,1
7534767-25.2025.8.14.5207,PA,Não reconhece operação,Genérico,Êxito,Extinção,19878.98,0.0,1,1,0,1,1,1
8244365-69.2025.8.22.8702,RO,Não reconhece operação,Golpe,Êxito,Extinção,16416.73,0.0,1,1,1,0,1,1
5377838-64.2025.8.22.1960,RO,Não reconhece operação,Golpe,Êxito,Improcedência,11445.13,0.0,1,1,0,1,1,1
4664636-83.2025.8.24.3322,SC,Não reconhece operação,Golpe,Não Êxito,Procedência,23790.93,23077.2021,0,0,0,1,1,1
3317432-66.2025.8.02.3532,AL,Não reconhece operação,Genérico,Êxito,Extinção,16474.71,0.0,1,1,1,0,1,1
1036167-99.2025.8.18.7221,PI,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,16008.46,12646.6834,1,0,0,1,1,1
4713499-59.2025.8.01.9891,AC,Não reconhece operação,Golpe,Não Êxito,Procedência,12450.0,12325.5,0,0,1,0,0,1
7409545-64.2025.8.09.7451,GO,Não reconhece operação,Golpe,Êxito,Improcedência,17513.33,0.0,1,1,1,1,1,1
5190784-97.2025.8.05.0017,BA,Não reconhece operação,Genérico,Êxito,Improcedência,15388.24,0.0,1,1,0,0,0,1
9008957-49.2025.8.10.2303,MA,Não reconhece operação,Genérico,Êxito,Improcedência,11906.88,0.0,1,1,0,0,1,1
3337657-99.2025.8.01.8085,AC,Não reconhece operação,Genérico,Êxito,Extinção,12239.57,0.0,1,1,1,1,0,1
1164748-57.2025.8.09.6973,GO,Não reconhece operação,Golpe,Não Êxito,Procedência,18141.93,17053.4142,1,0,0,0,1,1
6433720-08.2025.8.13.0468,MG,Não reconhece operação,Genérico,Êxito,Improcedência,12145.24,0.0,1,0,0,1,1,1
1004618-46.2025.8.24.2609,SC,Não reconhece operação,Golpe,Êxito,Improcedência,17169.92,0.0,1,1,1,0,1,1
5765658-76.2025.8.02.4628,AL,Não reconhece operação,Genérico,Êxito,Improcedência,1899.86,0.0,1,0,1,1,1,1
4242943-08.2025.8.02.6315,AL,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,17892.83,9125.3433,1,0,1,0,1,1
8575019-24.2025.8.10.3536,MA,Não reconhece operação,Golpe,Não Êxito,Procedência,10471.11,9423.999000000002,0,0,1,1,0,1
8640762-07.2025.8.10.7001,MA,Não reconhece operação,Golpe,Êxito,Improcedência,26260.95,0.0,1,1,0,1,1,1
1642051-91.2025.8.22.5427,RO,Não reconhece operação,Golpe,Êxito,Extinção,10071.41,0.0,1,1,1,1,1,1
6350914-29.2025.8.18.1243,PI,Não reconhece operação,Genérico,Êxito,Improcedência,15809.42,0.0,1,1,0,1,0,1
4337481-67.2025.8.04.1028,AM,Não reconhece operação,Golpe,Êxito,Improcedência,18311.42,0.0,1,1,0,1,1,1
9628720-57.2025.8.05.4407,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16199.86,10367.9104,0,1,0,1,1,1
6864983-88.2025.8.01.7914,AC,Não reconhece operação,Golpe,Êxito,Extinção,9990.5,0.0,1,1,1,1,1,1
7290593-91.2025.8.15.4383,PB,Não reconhece operação,Genérico,Êxito,Improcedência,13188.08,0.0,1,1,1,1,1,1
2916706-84.2025.8.13.4536,MG,Não reconhece operação,Golpe,Êxito,Improcedência,10273.99,0.0,1,1,1,1,1,1
4378932-14.2025.8.21.6312,RS,Não reconhece operação,Genérico,Êxito,Improcedência,10848.63,0.0,1,1,1,1,0,1
3116427-41.2025.8.15.6493,PB,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9181.68,6151.725600000001,0,1,1,1,1,0
1767789-13.2025.8.16.5294,PR,Não reconhece operação,Genérico,Êxito,Extinção,17469.75,0.0,0,1,1,1,1,1
2514951-11.2025.8.16.4194,PR,Não reconhece operação,Golpe,Não Êxito,Procedência,9174.17,8165.0113,0,0,0,1,1,0
9221747-80.2025.8.05.4800,BA,Não reconhece operação,Golpe,Não Êxito,Procedência,13537.39,13131.2683,0,1,1,1,1,0
8738419-10.2025.8.11.0050,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16542.64,6617.0560000000005,0,1,0,1,1,1
5467001-97.2025.8.05.4535,BA,Não reconhece operação,Genérico,Êxito,Improcedência,14903.0,0.0,1,1,1,0,1,1
6600400-15.2025.8.24.1673,SC,Não reconhece operação,Golpe,Êxito,Improcedência,15715.2,0.0,1,1,1,1,1,1
6957934-24.2025.8.04.1883,AM,Não reconhece operação,Golpe,Êxito,Improcedência,17809.16,0.0,1,1,1,0,1,1
9721232-17.2025.8.26.2061,SP,Não reconhece operação,Genérico,Êxito,Extinção,11122.41,0.0,1,1,1,1,1,1
1658392-73.2025.8.06.4400,CE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,22810.1,15738.968999999997,0,0,0,0,1,0
5429359-99.2025.8.15.9990,PB,Não reconhece operação,Genérico,Êxito,Extinção,20973.32,0.0,1,1,0,1,1,1
1830158-63.2025.8.06.7436,CE,Não reconhece operação,Golpe,Êxito,Improcedência,13579.91,0.0,1,1,0,1,1,1
4888805-39.2025.8.06.6078,CE,Não reconhece operação,Golpe,Êxito,Improcedência,10184.91,0.0,1,1,0,0,1,0
2416629-13.2025.8.22.7481,RO,Não reconhece operação,Genérico,Êxito,Extinção,16430.75,0.0,1,0,1,1,1,1
3617208-89.2025.8.24.5615,SC,Não reconhece operação,Genérico,Êxito,Improcedência,19166.41,0.0,1,1,1,1,1,1
5465173-62.2025.8.04.1962,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16968.33,15780.546900000003,1,1,0,1,0,1
2195334-12.2025.8.19.3849,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,8469.08,0.0,0,1,1,0,0,1
2491617-60.2025.8.04.4954,AM,Não reconhece operação,Golpe,Êxito,Improcedência,18462.68,0.0,0,0,1,0,1,1
3034155-80.2025.8.17.9947,PE,Não reconhece operação,Golpe,Êxito,Improcedência,25280.42,0.0,1,1,0,1,0,1
9541320-08.2025.8.25.0772,SE,Não reconhece operação,Genérico,Êxito,Improcedência,15622.49,0.0,1,1,1,0,1,1
3756959-00.2025.8.22.8800,RO,Não reconhece operação,Genérico,Êxito,Improcedência,11057.81,0.0,1,1,1,0,1,0
3407007-73.2025.8.27.4003,TO,Não reconhece operação,Golpe,Êxito,Improcedência,18755.97,0.0,1,1,1,1,1,1
5125388-30.2025.8.04.4802,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,19576.02,19576.02,0,0,1,0,1,1
1071988-28.2025.8.10.4869,MA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9980.63,6687.0221,0,0,0,1,1,0
3943642-26.2025.8.14.7097,PA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,19072.64,6675.423999999999,0,0,1,1,0,1
3316828-87.2025.8.04.5252,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9781.48,8412.0728,0,1,1,1,1,1
5001851-77.2025.8.05.0092,BA,Não reconhece operação,Genérico,Êxito,Improcedência,14343.89,0.0,1,1,1,1,1,1
3066971-59.2025.8.14.6843,PA,Não reconhece operação,Golpe,Êxito,Improcedência,11669.01,0.0,1,1,1,1,1,1
2725863-21.2025.8.21.8039,RS,Não reconhece operação,Golpe,Êxito,Improcedência,9158.12,0.0,1,1,0,0,1,1
7855743-79.2025.8.22.0178,RO,Não reconhece operação,Golpe,Êxito,Improcedência,5812.29,0.0,1,1,1,0,1,1
9151035-68.2025.8.22.6973,RO,Não reconhece operação,Golpe,Êxito,Extinção,22897.28,0.0,1,1,0,0,1,0
6207314-44.2025.8.15.8205,PB,Não reconhece operação,Golpe,Êxito,Improcedência,22352.97,0.0,1,1,1,0,0,1
9695003-30.2025.8.17.4000,PE,Não reconhece operação,Genérico,Êxito,Improcedência,11440.64,0.0,1,1,1,1,1,0
7709072-23.2025.8.21.1626,RS,Não reconhece operação,Golpe,Êxito,Improcedência,16976.14,0.0,0,1,0,1,1,1
1132224-24.2025.8.04.8647,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,14643.18,14203.8846,0,1,0,0,0,0
4126847-18.2025.8.11.9758,MT,Não reconhece operação,Golpe,Êxito,Improcedência,9108.11,0.0,1,1,0,1,1,1
2945066-43.2025.8.01.2052,AC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,11718.07,5155.9508,0,0,0,1,1,1
2260050-77.2025.8.08.6911,ES,Não reconhece operação,Genérico,Êxito,Improcedência,18194.82,0.0,1,1,1,1,1,0
9692800-68.2025.8.11.8981,MT,Não reconhece operação,Golpe,Êxito,Improcedência,10603.55,0.0,1,1,1,1,1,0
5694415-80.2025.8.11.5254,MT,Não reconhece operação,Genérico,Êxito,Improcedência,16002.53,0.0,1,1,0,1,1,1
1953090-35.2025.8.07.9022,DF,Não reconhece operação,Genérico,Êxito,Improcedência,14008.18,0.0,1,1,0,1,1,1
9678122-24.2025.8.08.7373,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,14824.6,12007.926000000001,0,1,1,1,0,1
6107837-76.2025.8.15.8712,PB,Não reconhece operação,Golpe,Êxito,Improcedência,10026.15,0.0,1,0,1,1,1,0
7103613-72.2025.8.14.7270,PA,Não reconhece operação,Golpe,Êxito,Improcedência,11089.16,0.0,1,1,0,0,1,1
6810366-72.2025.8.21.6022,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16690.84,9847.595599999999,1,0,1,1,1,0
8551553-69.2025.8.11.2880,MT,Não reconhece operação,Genérico,Êxito,Improcedência,14631.29,0.0,1,1,0,0,1,0
1365943-12.2025.8.02.3358,AL,Não reconhece operação,Genérico,Êxito,Extinção,17459.48,0.0,1,1,1,1,1,1
2154527-14.2025.8.24.6581,SC,Não reconhece operação,Genérico,Êxito,Improcedência,13486.85,0.0,1,1,0,0,0,1
6832328-93.2025.8.12.2275,MS,Não reconhece operação,Genérico,Êxito,Improcedência,14628.4,0.0,1,1,1,1,1,0
4682646-67.2025.8.16.1196,PR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18825.97,12048.6208,0,0,0,1,1,1
9878548-45.2025.8.15.2286,PB,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16035.38,7696.982399999999,0,0,0,1,1,1
2943656-23.2025.8.11.8748,MT,Não reconhece operação,Genérico,Êxito,Extinção,15214.38,0.0,1,1,0,1,0,1
4404420-82.2025.8.18.4981,PI,Não reconhece operação,Golpe,Êxito,Improcedência,18624.12,0.0,1,1,1,0,1,0
6028943-75.2025.8.14.1091,PA,Não reconhece operação,Golpe,Êxito,Improcedência,6455.87,0.0,1,1,1,1,1,1
8559222-65.2025.8.14.9635,PA,Não reconhece operação,Golpe,Êxito,Improcedência,10768.51,0.0,1,1,1,0,1,1
1188768-00.2025.8.26.7298,SP,Não reconhece operação,Golpe,Êxito,Improcedência,16585.31,0.0,1,1,1,1,1,1
5006133-32.2025.8.21.4921,RS,Não reconhece operação,Golpe,Êxito,Extinção,16172.36,0.0,1,1,1,1,0,0
6528657-15.2025.8.11.5661,MT,Não reconhece operação,Genérico,Êxito,Extinção,15811.09,0.0,1,1,0,1,0,1
2113440-47.2025.8.20.0133,RN,Não reconhece operação,Golpe,Êxito,Improcedência,10604.94,0.0,1,0,1,1,1,1
6993647-65.2025.8.03.0482,AP,Não reconhece operação,Genérico,Êxito,Improcedência,3760.07,0.0,1,0,1,1,0,1
4310482-44.2025.8.14.8080,PA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16364.16,6382.0224,0,0,0,0,0,1
8351690-48.2025.8.27.5137,TO,Não reconhece operação,Golpe,Êxito,Extinção,18414.88,0.0,0,1,1,1,1,1
9479205-69.2025.8.08.3845,ES,Não reconhece operação,Golpe,Êxito,Improcedência,12344.48,0.0,1,1,1,1,1,1
3000656-86.2025.8.20.6265,RN,Não reconhece operação,Golpe,Não Êxito,Procedência,19353.37,16643.8982,0,0,1,1,1,1
6542450-85.2025.8.18.3638,PI,Não reconhece operação,Genérico,Êxito,Improcedência,16228.9,0.0,1,1,1,1,1,1
9149773-83.2025.8.04.9862,AM,Não reconhece operação,Golpe,Êxito,Improcedência,15874.91,0.0,1,1,1,0,1,0
7577959-91.2025.8.16.6387,PR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,3325.2,2626.908,1,0,0,1,1,1
3988343-82.2025.8.22.6232,RO,Não reconhece operação,Golpe,Êxito,Improcedência,17862.93,0.0,1,1,1,1,1,0
2236097-32.2025.8.24.2768,SC,Não reconhece operação,Genérico,Êxito,Improcedência,20344.64,0.0,0,1,1,1,1,1
9840752-04.2025.8.24.1287,SC,Não reconhece operação,Genérico,Êxito,Extinção,5283.44,0.0,1,1,1,1,1,1
1414512-68.2025.8.17.7385,PE,Não reconhece operação,Genérico,Êxito,Improcedência,10702.79,0.0,1,1,1,0,1,1
4395451-63.2025.8.01.7486,AC,Não reconhece operação,Genérico,Êxito,Improcedência,20690.8,0.0,1,1,1,1,1,1
2483936-55.2025.8.02.2108,AL,Não reconhece operação,Golpe,Não Êxito,Procedência,23446.92,20867.7588,0,0,0,0,1,1
2124970-23.2025.8.12.3756,MS,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,12363.74,4203.671600000001,0,0,1,1,1,1
7220045-22.2025.8.21.2131,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,6454.35,4130.784000000001,0,0,1,1,0,1
4447431-88.2025.8.17.0827,PE,Não reconhece operação,Genérico,Êxito,Improcedência,15282.82,0.0,1,1,1,0,1,1
7978624-64.2025.8.21.7206,RS,Não reconhece operação,Genérico,Êxito,Extinção,14135.84,0.0,1,1,1,1,0,1
6669881-35.2025.8.22.7063,RO,Não reconhece operação,Golpe,Êxito,Improcedência,23662.85,0.0,1,1,1,1,1,1
9124076-01.2025.8.04.2683,AM,Não reconhece operação,Genérico,Êxito,Extinção,16271.59,0.0,1,1,1,1,1,1
2482176-17.2025.8.08.2021,ES,Não reconhece operação,Golpe,Êxito,Improcedência,15149.63,0.0,1,1,0,0,1,1
7538477-48.2025.8.07.5362,DF,Não reconhece operação,Golpe,Êxito,Extinção,9504.2,0.0,1,1,1,1,1,1
6671803-68.2025.8.25.3190,SE,Não reconhece operação,Genérico,Êxito,Improcedência,19397.51,0.0,1,1,0,1,1,1
5506424-76.2025.8.27.8880,TO,Não reconhece operação,Golpe,Êxito,Improcedência,21822.52,0.0,1,1,0,0,1,1
5644091-07.2025.8.10.1211,MA,Não reconhece operação,Golpe,Êxito,Improcedência,8210.18,0.0,0,1,0,1,0,1
9551756-73.2025.8.03.8934,AP,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,12591.6,8940.036,1,0,1,1,1,0
3672620-85.2025.8.18.8833,PI,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,20256.23,15394.7348,0,1,0,0,1,0
6501074-82.2025.8.01.4124,AC,Não reconhece operação,Golpe,Êxito,Improcedência,23419.56,0.0,1,1,1,1,0,1
4979196-66.2025.8.24.1263,SC,Não reconhece operação,Golpe,Êxito,Improcedência,19157.47,0.0,1,1,0,0,1,1
1818653-62.2025.8.17.8561,PE,Não reconhece operação,Golpe,Êxito,Improcedência,16059.99,0.0,1,1,1,0,1,1
8190650-67.2025.8.14.2138,PA,Não reconhece operação,Golpe,Êxito,Extinção,17399.87,0.0,1,1,1,1,1,1
1654013-97.2025.8.04.8668,AM,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,19690.61,14964.8636,1,0,0,1,1,0
9468353-73.2025.8.04.6122,AM,Não reconhece operação,Genérico,Êxito,Extinção,15710.58,0.0,1,1,1,1,1,1
3176669-16.2025.8.19.9291,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13933.96,8499.7156,1,1,0,1,1,1
2106146-80.2025.8.05.3987,BA,Não reconhece operação,Genérico,Êxito,Improcedência,11048.71,0.0,1,1,1,1,0,1
1914631-83.2025.8.10.1214,MA,Não reconhece operação,Golpe,Êxito,Extinção,11737.65,0.0,1,1,1,1,1,0
6505734-04.2025.8.22.0898,RO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18585.78,13195.903799999998,1,1,1,0,1,1
4987824-28.2025.8.12.9529,MS,Não reconhece operação,Golpe,Êxito,Extinção,9486.4,0.0,0,1,1,1,0,1
1337700-64.2025.8.26.1050,SP,Não reconhece operação,Golpe,Êxito,Improcedência,18027.3,0.0,1,1,0,0,0,1
7020212-34.2025.8.10.1872,MA,Não reconhece operação,Genérico,Êxito,Improcedência,17798.84,0.0,0,1,0,0,1,1
1325764-41.2025.8.01.1867,AC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,14577.42,5393.6454,0,0,0,1,0,1
2471966-47.2025.8.05.2271,BA,Não reconhece operação,Golpe,Não Êxito,Procedência,5222.29,5222.29,0,0,1,1,0,1
4358879-64.2025.8.08.7826,ES,Não reconhece operação,Golpe,Êxito,Improcedência,21762.03,0.0,1,1,0,1,0,0
2829762-62.2025.8.06.6733,CE,Não reconhece operação,Genérico,Êxito,Extinção,12144.34,0.0,1,1,1,0,1,1
5045808-82.2025.8.12.9737,MS,Não reconhece operação,Genérico,Êxito,Improcedência,6594.75,0.0,1,1,1,1,1,1
3789694-13.2025.8.15.6729,PB,Não reconhece operação,Golpe,Êxito,Improcedência,13612.54,0.0,1,1,1,0,1,1
9084560-55.2025.8.13.1494,MG,Não reconhece operação,Genérico,Êxito,Improcedência,13321.36,0.0,1,1,1,1,1,1
1739214-61.2025.8.25.6298,SE,Não reconhece operação,Golpe,Êxito,Extinção,18368.45,0.0,1,1,0,1,1,1
9492954-82.2025.8.22.4151,RO,Não reconhece operação,Genérico,Êxito,Extinção,23058.52,0.0,1,1,1,1,1,1
8975960-62.2025.8.13.7361,MG,Não reconhece operação,Golpe,Êxito,Extinção,12006.92,0.0,1,1,1,0,0,1
8724384-71.2025.8.18.1080,PI,Não reconhece operação,Golpe,Êxito,Improcedência,10302.42,0.0,1,1,0,1,1,1
9307816-75.2025.8.11.0001,MT,Não reconhece operação,Golpe,Êxito,Improcedência,11743.82,0.0,1,1,1,1,1,1
